id,category,english,swedish,arabic,url,file,selected,selectable
1,Core,I,Jag,انا,http://bildstod.se/image/get/7048,i.jpg,FALSE,TRUE
2,Core,To,Till,إلى,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/to.png,to.png,FALSE,TRUE
3,Core,In,I,في,http://bildstod.se/image/get/6397,in.jpg,FALSE,TRUE
4,Core,You,Du/Ni,"انت , انتم ",http://symbolmanager.ecs.soton.ac.uk/images/Designer/you_4.png,you.png,FALSE,TRUE
5,Core,Yes,Ja,نعم,http://bildstod.se/image/get/2318,yes.jpg,FALSE,TRUE
6,Core,No,Nej,لا,http://bildstod.se/image/get/2577,no.jpg,FALSE,TRUE
7,Core,Have,Har,"لديه , عنده ",http://bildstod.se/image/get/1285,have.jpg,FALSE,TRUE
8,Core,Like,Gilla,يحب,http://bildstod.se/image/get/8478,like.jpg,FALSE,TRUE
9,Core,Me,Mig,انا,http://bildstod.se/image/get/7503,me.jpg,FALSE,TRUE
10,Core,Do,Göra,"يعمل , يفعل ",http://bildstod.se/image/get/6682,do.jpg,FALSE,TRUE
11,Core,On,På,على,http://bildstod.se/image/get/6408,on.jpg,FALSE,TRUE
12,Core,People,Personer,الناس,http://bildstod.se/image/get/7313,people.jpg,FALSE,TRUE
13,Core,Know,Veta,يعرف,http://bildstod.se/image/get/8232,know.jpg,FALSE,TRUE
14,Core,With,Med,مع,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-with.png,with.png,FALSE,TRUE
15,Core,They,De,هم,http://bildstod.se/image/get/7228,they.jpg,FALSE,TRUE
16,Core,What,Vad,"ماذا ,ما ",http://bildstod.se/image/get/483,what.jpg,FALSE,TRUE
17,Core,Not,Inte,لا,http://bildstod.se/image/get/6477,not.jpg,FALSE,TRUE
18,Core,She,Hon,هي,http://bildstod.se/image/get/7226,she.jpg,FALSE,TRUE
19,Core,He,Han,هو,http://bildstod.se/image/get/6067,he.jpg,FALSE,TRUE
20,Core,We,Vi,نحن,http://bildstod.se/image/get/8129,we.jpg,FALSE,TRUE
21,Core,Think,Tänka,يفكر,http://bildstod.se/image/get/8099,think.jpg,FALSE,TRUE
22,Core,One,En,واحد,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/one_1.png,one.png,FALSE,TRUE
